province,population,bedUsageRate,transportTotal,healthStaffPer10w,confirmed,cured,death
湖北省,-1.0,-1.0,-1.0,-1.0,67790,52962,3075
宁夏回族自治区,-1.0,-1.0,-1.0,-1.0,75,73,0
河南省,-1.0,-1.0,-1.0,-1.0,1273,1250,22
湖南省,-1.0,-1.0,-1.0,-1.0,1018,1014,4
上海市,-1.0,-1.0,-1.0,-1.0,352,324,3
四川省,-1.0,-1.0,-1.0,-1.0,539,511,3
山东省,-1.0,-1.0,-1.0,-1.0,760,741,7
甘肃省,-1.0,-1.0,-1.0,-1.0,129,89,2
北京市,-1.0,-1.0,-1.0,-1.0,437,349,8
浙江省,-1.0,-1.0,-1.0,-1.0,1227,1211,1
广东省,-1.0,-1.0,-1.0,-1.0,1356,1299,8
贵州省,-1.0,-1.0,-1.0,-1.0,146,143,2
辽宁省,-1.0,-1.0,-1.0,-1.0,125,113,1
黑龙江省,-1.0,-1.0,-1.0,-1.0,482,447,13
重庆市,-1.0,-1.0,-1.0,-1.0,576,566,6
山西省,-1.0,-1.0,-1.0,-1.0,133,133,0
江苏省,-1.0,-1.0,-1.0,-1.0,631,630,0
广西壮族自治区,-1.0,-1.0,-1.0,-1.0,252,243,2
河北省,-1.0,-1.0,-1.0,-1.0,318,310,6
吉林省,-1.0,-1.0,-1.0,-1.0,93,92,1
天津市,-1.0,-1.0,-1.0,-1.0,136,132,3
海南省,-1.0,-1.0,-1.0,-1.0,168,160,6
江西省,-1.0,-1.0,-1.0,-1.0,935,934,1
陕西省,-1.0,-1.0,-1.0,-1.0,245,232,2
内蒙古自治区,-1.0,-1.0,-1.0,-1.0,75,71,1
新疆维吾尔自治区,-1.0,-1.0,-1.0,-1.0,76,73,3
安徽省,-1.0,-1.0,-1.0,-1.0,990,984,6
福建省,-1.0,-1.0,-1.0,-1.0,296,295,1
云南省,-1.0,-1.0,-1.0,-1.0,174,170,2
青海省,-1.0,-1.0,-1.0,-1.0,18,18,0
西藏自治区,-1.0,-1.0,-1.0,-1.0,1,1,0
澳门,-1.0,-1.0,-1.0,-1.0,2,0,0
