index,provinceName,province_confirmedCount,province_curedCount,province_deadCount,updateTime
0,加拿大,5867,345,63,2020-03-29
1,韩国,9583,5033,152,2020-03-29
2,以色列,3865,89,12,2020-03-29
3,巴基斯坦,1500,25,12,2020-03-29
4,印度,1024,95,27,2020-03-29
5,塞尔维亚,741,0,13,2020-03-29
6,阿根廷,745,1,19,2020-03-29
7,秘鲁,671,14,16,2020-03-29
8,摩洛哥,437,12,26,2020-03-29
9,黎巴嫩,438,30,10,2020-03-29
10,波黑,233,5,4,2020-03-29
11,阿尔巴尼亚,197,10,10,2020-03-29
12,布基纳法索,207,21,11,2020-03-29
13,钻石公主号邮轮,712,574,10,2020-03-29
14,阿富汗,117,0,2,2020-03-29
15,叙利亚,6,0,1,2020-03-29
16,甘肃省,138,125,2,2020-03-29
17,中国,82421,75606,3306,2020-03-29
18,塞浦路斯,179,0,5,2020-03-29
19,越南,188,25,0,2020-03-29
20,阿塞拜疆,182,15,4,2020-03-29
21,湖北省,67801,62570,3182,2020-03-29
22,北京市,577,412,8,2020-03-29
23,多米尼加,581,0,20,2020-03-29
24,加纳,152,2,5,2020-03-29
25,法罗群岛,144,0,0,2020-03-29
26,塞内加尔,142,27,0,2020-03-29
27,法国,37575,5700,2314,2020-03-29
28,英国,19522,135,1228,2020-03-29
29,墨西哥,858,1,16,2020-03-29
30,哈萨克斯坦,271,16,1,2020-03-29
31,科威特,255,64,0,2020-03-29
32,挪威,3981,0,22,2020-03-29
33,澳大利亚,3809,119,16,2020-03-29
34,捷克,2669,11,13,2020-03-29
35,智利,1909,43,6,2020-03-29
36,俄罗斯,1534,64,8,2020-03-29
37,泰国,1388,97,7,2020-03-29
38,沙特阿拉伯,1299,66,8,2020-03-29
39,罗马尼亚,1292,115,24,2020-03-29
40,印度尼西亚,1285,35,114,2020-03-29
41,新加坡,844,183,3,2020-03-29
42,哥伦比亚,608,10,6,2020-03-29
43,克罗地亚,586,37,3,2020-03-29
44,阿联酋,468,55,2,2020-03-29
45,立陶宛,382,1,7,2020-03-29
46,安道尔,334,6,6,2020-03-29
47,突尼斯,278,0,6,2020-03-29
48,约旦,246,18,1,2020-03-29
49,巴林,499,272,4,2020-03-29
50,伊朗,38309,12391,2640,2020-03-29
51,比利时,10836,350,431,2020-03-29
52,荷兰,10866,2954,771,2020-03-29
53,斯洛伐克,314,7,0,2020-03-29
54,保加利亚,313,3,3,2020-03-29
55,拉脱维亚,305,0,0,2020-03-29
56,哥斯达黎加,295,0,2,2020-03-29
57,美国,124686,2612,2191,2020-03-29
58,土耳其,7402,70,108,2020-03-29
59,爱尔兰,2415,0,36,2020-03-29
60,马来西亚,2470,388,34,2020-03-29
61,卢森堡,1831,0,18,2020-03-29
62,波兰,1638,13,18,2020-03-29
63,斯洛文尼亚,632,0,9,2020-03-29
64,亚美尼亚,424,30,3,2020-03-29
65,北马其顿,219,1,3,2020-03-29
66,乌兹别克斯坦,133,0,2,2020-03-29
67,喀麦隆,113,2,2,2020-03-29
68,赞比亚共和国,29,0,0,2020-03-29
69,瑞士,14336,1530,257,2020-03-29
70,葡萄牙,5962,22,119,2020-03-29
71,巴西,3904,0,92,2020-03-29
72,瑞典,3447,17,102,2020-03-29
73,毛里求斯,102,0,2,2020-03-29
74,马达加斯加,43,0,0,2020-03-29
75,马里,18,0,1,2020-03-29
76,西班牙,78797,12285,6528,2020-03-29
77,奥地利,7697,225,68,2020-03-29
78,日本,1799,404,55,2020-03-29
79,菲律宾,1418,42,71,2020-03-29
80,南非,1187,1,2,2020-03-29
81,芬兰,1163,10,9,2020-03-29
82,希腊,1061,19,32,2020-03-29
83,巴拿马,901,0,17,2020-03-29
84,冰岛,963,97,2,2020-03-29
85,爱沙尼亚,640,20,1,2020-03-29
86,卡塔尔,590,45,1,2020-03-29
87,新西兰,514,50,0,2020-03-29
88,埃及,576,121,36,2020-03-29
89,乌克兰,418,5,9,2020-03-29
90,阿尔及利亚,454,29,29,2020-03-29
91,伊拉克,547,143,42,2020-03-29
92,匈牙利,408,34,13,2020-03-29
93,乌拉圭,238,6,0,2020-03-29
94,圣马力诺,242,2,21,2020-03-29
95,摩尔多瓦,231,10,2,2020-03-29
96,阿曼,167,23,0,2020-03-29
97,马耳他,139,0,0,2020-03-29
98,留尼旺,135,0,0,2020-03-29
99,斯里兰卡,113,6,1,2020-03-29
100,委内瑞拉,107,0,1,2020-03-29
101,科特迪瓦,101,3,0,2020-03-29
102,尼日利亚,97,3,1,2020-03-29
103,文莱,126,34,1,2020-03-29
104,巴勒斯坦,104,18,1,2020-03-29
105,吉尔吉斯斯坦,84,0,0,2020-03-29
106,柬埔寨,103,21,0,2020-03-29
107,格鲁吉亚,90,18,0,2020-03-29
108,梵蒂冈,6,0,0,2020-03-29
109,德国,58101,8481,474,2020-03-29
110,厄瓜多尔,1595,0,36,2020-03-29
111,香港,641,112,4,2020-03-29
112,台湾,298,30,2,2020-03-29
113,天津市,166,133,3,2020-03-29
114,意大利,93051,12384,10023,2020-03-29
115,丹麦,2201,1,65,2020-03-29
116,瓜德罗普岛,96,0,2,2020-03-29
117,马提尼克,93,0,1,2020-03-29
118,古巴,80,0,2,2020-03-29
119,黑山,75,0,1,2020-03-29
120,白俄罗斯,94,22,0,2020-03-29
121,洪都拉斯,68,0,1,2020-03-29
122,特立尼达和多巴哥,66,0,2,2020-03-29
123,波多黎各,64,0,2,2020-03-29
124,玻利维亚,61,0,0,2020-03-29
125,列支敦士登,60,0,0,2020-03-29
126,卢旺达,60,0,0,2020-03-29
127,刚果（金）,65,3,6,2020-03-29
128,直布罗陀,55,0,0,2020-03-29
129,泽西岛,52,0,1,2020-03-29
130,关岛,51,0,1,2020-03-29
131,马约特,50,0,0,2020-03-29
132,巴拉圭,52,0,3,2020-03-29
133,摩纳哥,43,1,0,2020-03-29
134,肯尼亚,38,1,1,2020-03-29
135,根西岛,36,0,0,2020-03-29
136,孟加拉国,48,11,5,2020-03-29
137,法属圭亚那,31,0,0,2020-03-29
