date,totalConfirm,currentConfrim,currentSupect,currentSerious,totalDeath,totalCured,confirmIncr,supectIncr,hubeiConfirmedIncr
2020-01-20,291,260,54,63,6,25,77,27,72
2020-01-21,440,406,37,102,9,25,149,26,105
2020-01-22,571,526,393,95,17,28,131,257,69
2020-01-23,830,771,1072,177,25,34,259,680,105
2020-01-24,1287,1208,1965,237,41,38,444,1118,180
2020-01-25,1975,1870,2684,324,56,49,688,1309,323
2020-01-26,2744,2613,5794,461,80,51,769,3806,371
2020-01-27,4515,4349,6973,976,106,60,1771,2077,1291
2020-01-28,5974,5739,9239,1239,132,103,1459,3248,840
2020-01-29,7711,7417,12167,1370,170,124,1737,4148,1032
2020-01-30,9692,9308,15238,1527,213,171,1982,4812,1220
2020-01-31,11791,11289,17988,1795,259,243,2102,5019,1347
2020-02-01,14380,13748,19544,2110,304,328,2590,4562,1921
2020-02-02,17205,16369,21558,2296,361,475,2829,5173,2103
2020-02-03,20438,19381,23214,2788,425,632,3235,5072,2345
2020-02-04,24324,22942,23260,3219,490,892,3887,3971,3156
2020-02-05,28018,26302,24702,3859,563,1153,3694,5328,2987
2020-02-06,31161,28985,26359,4821,636,1540,3143,4833,2447
2020-02-07,34546,31774,27657,6101,722,2050,3399,4214,2841
2020-02-08,37198,33738,28942,6188,811,2649,2656,3916,2147
2020-02-09,40171,35982,23589,6484,908,3281,3062,4008,2618
2020-02-10,42638,37626,21675,7333,1016,3996,2478,3536,2097
2020-02-11,44653,38800,16067,8204,1113,4740,2015,3342,1638
2020-02-12,59804,52526,13435,8030,1367,5911,15152,2807,14840
2020-02-13,63851,55748,10109,10204,1380,6723,5090,2450,4823
2020-02-14,66492,56873,8969,11053,1523,8096,2641,2277,2420
2020-02-15,68500,57416,8228,11272,1665,9419,2009,1918,1843
2020-02-16,70548,57934,7264,10644,1770,10844,2048,1563,1933
2020-02-17,72436,58016,6242,11741,1868,12552,1886,1432,1807
2020-02-18,74185,57805,5248,11977,2004,14376,1749,1185,1693
2020-02-19,74576,56303,4922,11864,2118,16155,394,1277,349
2020-02-20,75465,54965,5206,11633,2236,18264,889,1614,631
2020-02-21,76288,53284,5365,11477,2345,20659,397,1361,366
2020-02-22,76936,51606,4148,10968,2442,22888,648,882,630
2020-02-23,77150,49824,3434,9915,2592,24734,409,620,398
2020-02-24,77658,47672,2824,9126,2663,27323,508,530,499
2020-02-25,78064,45604,2491,8752,2715,29745,406,439,401
2020-02-26,78497,43258,2358,8346,2744,32495,433,508,409
2020-02-27,78824,39919,2308,7952,2788,36117,327,452,318
2020-02-28,79251,37414,1418,7664,2835,39002,427,248,423
2020-02-29,79824,35329,851,7365,2870,41625,573,132,570
2020-03-01,80026,32652,715,7110,2912,44462,202,141,196
2020-03-02,80151,30004,587,6806,2943,47204,125,129,114
