province,population,bedUsageRate,transportTotal,healthTechPersonNumber
北京,2154,83.4,58935,32.61
天津,1560,77.5,17450,13.25
河北,7556,82.7,47346,62.4
山西,3718,79.6,23837,33.09
内蒙古,2534,76.1,13268,24.14
辽宁,4359,78.1,71343,39.19
吉林,2704,76,31956,24.2
黑龙江,3773,73.8,31568,29.96
上海,2424,95.9,15845,23.82
江苏,8051,86.4,120612,73.93
浙江,5737,89.5,98380,58.94
安徽,6324,83.3,63347,42.7
福建,3941,83.9,48105,31.85
江西,4648,86.7,60686,32.58
山东,10047,82.5,67443,96.14
河南,9605,87.6,110421,86.32
湖北,5917,92.7,98350,52.19
湖南,6899,84.3,106680,55.78
广东,11346,83,142144,91.84
广西,4926,87.6,47931,42.04
海南,934,79.6,14383,8.14
重庆,3102,82.2,60587,27.28
四川,8341,88.7,98569,74.63
贵州,3600,81.8,93025,32.34
云南,4830,85.8,41484,38.98
西藏,344,64.6,1399,3.68
陕西,3864,84,71583,41.09
甘肃,2637,81.6,42185,20.7
青海,603,73.2,6443,5.94
宁夏,688,79.9,6137,6.58
新疆,2487,85.6,21204,22.71
